Model ID,Algorithm & Configuration,Accuracy
rf_04,"Random Forest (100 trees, unlimited depth)",1.0
rf_01,"Random Forest (10 trees, depth=3)",1.0
knn_01,KNN (k=1),0.9444444444444444
rf_02,"Random Forest (50 trees, depth=3)",0.9444444444444444
svm_03,"SVM (rbf, C=10.0)",0.9444444444444444
dt_03,Decision Tree (unlimited depth),0.9444444444444444
dt_02,Decision Tree (depth=4),0.9444444444444444
rf_03,"Random Forest (50 trees, unlimited depth)",0.9444444444444444
svm_01,"SVM (linear, C=1.0)",0.8888888888888888
knn_02,KNN (k=3),0.8888888888888888
dt_01,Decision Tree (depth=2),0.8888888888888888
svm_02,"SVM (rbf, C=1.0)",0.8888888888888888
knn_03,KNN (k=7),0.8333333333333334
lr_01,Logistic Regression (C=0.1),0.8333333333333334
lr_02,Logistic Regression (C=1.0),0.8333333333333334
